950, savings 69420, -9807123, 2020-01-31 20:15:06 UTC
955, savings 69420, 23523604063, 2020-01-31 20:15:21 UTC
957, checking 3636, -342042, 2020-01-31 20:15:26 UTC
962, checking 3636, 12349314, 2020-01-31 20:15:34 UTC
966, checking 3636, 12349314, 2020-01-31 20:17:33 UTC
973, checking 3636, -342042, 2020-01-31 20:27:42 UTC
978, savings 69420, -9807123, 2020-01-31 20:29:06 UTC
998, transfer 3303, 69753, 2020-01-31 20:52:39 UTC
1002, transfer 3981, 69075, 2020-01-31 20:53:29 UTC
1006, transfer 3981, 69075, 2020-01-31 21:17:15 UTC
1010, transfer 3981, 69075, 2020-02-01 18:00:45 UTC
1015, transfer 3981, 69075, 2020-02-01 18:01:41 UTC
1019, transfer 3981, 69075, 2020-02-01 18:01:53 UTC
